subject,resort,income,house,edu,inc,ses,split,pay,,,,,,,,,
321,0,8,1,4,85000,85000,1,8,,,,,,,,,
335,1,6,1,6,65000,65000,1,8,,,,,,,,,
344,0,10,3,2,125000,72168.78365,1,8,,,,,,,,,
386,1,5,2,4,55000,38890.87297,1,8,,,,,,,,,
397,0,2,1,5,25000,25000,0,8,,,,,,,,,
402,1,0,2,6,5000,3535.533906,0,8,,,,,,,,,
415,1,2,3,4,25000,14433.75673,0,8,,,,,,,,,
418,1,6,3,6,65000,37527.7675,1,8,,,,,,,,,
449,0,4,3,3,45000,25980.76211,0,8,,,,,,,,,
458,1,0,1,2,5000,5000,0,8,,,,,,,,,
466,1,4,7,2,45000,17008.40129,0,8,,,,,,,,,
471,1,0,1,4,5000,5000,0,8,,,,,,,,,
500,1,5,2,4,55000,38890.87297,1,8,,,,,,,,,
507,0,5,4,2,55000,27500,1,8,,,,,,,,,
511,1,1,2,4,15000,10606.60172,0,8,,,,,,,,,
516,1,4,3,4,45000,25980.76211,0,8,,,,,,,,,
518,1,5,3,4,55000,31754.26481,1,8,,,,,,,,,
526,1,6,3,1,65000,37527.7675,1,8,,,,,,,,,
535,1,8,4,3,85000,42500,1,8,,,,,,,,,
541,0,10,3,4,125000,72168.78365,1,8,,,,,,,,,
546,1,3,1,2,35000,35000,1,8,,,,,,,,,
561,0,4,1,6,45000,45000,1,8,,,,,,,,,
563,0,7,4,4,75000,37500,1,8,,,,,,,,,
582,1,11,4,4,150000,75000,1,8,,,,,,,,,
586,1,5,2,4,55000,38890.87297,1,8,,,,,,,,,
590,1,2,1,4,25000,25000,0,8,,,,,,,,,
594,1,7,2,1,75000,53033.00859,1,8,,,,,,,,,
607,1,3,2,2,35000,24748.73734,0,8,,,,,,,,,
626,1,5,4,4,55000,27500,1,8,,,,,,,,,
521,0,1,6,0,15000,6123.724357,0,9,,,,,,,,,
569,0,1,1,4,15000,15000,0,9,,,,,,,,,
606,1,5,5,4,55000,24596.74775,0,9,,,,,,,,,
5,1,3,3,4,35000,20207.25942,0,10,,,,,,,,,
19,0,3,2,2,35000,24748.73734,0,10,,,,,,,,,
28,0,11,6,4,150000,61237.24357,1,10,,,,,,,,,
29,1,8,4,4,85000,42500,1,10,,,,,,,,,
34,1,6,3,4,65000,37527.7675,1,10,,,,,,,,,
39,1,2,1,2,25000,25000,0,10,,,,,,,,,
46,0,0,1,2,5000,5000,0,10,,,,,,,,,
47,1,2,1,3,25000,25000,0,10,,,,,,,,,
66,1,5,1,4,55000,55000,1,10,,,,,,,,,
76,0,2,2,1,25000,17677.66953,0,10,,,,,,,,,
80,0,5,3,6,55000,31754.26481,1,10,,,,,,,,,
82,1,5,1,5,55000,55000,1,10,,,,,,,,,
87,1,10,3,6,125000,72168.78365,1,10,,,,,,,,,
100,0,4,5,4,45000,20124.6118,0,10,,,,,,,,,
111,1,3,3,2,35000,20207.25942,0,10,,,,,,,,,
113,1,1,2,2,15000,10606.60172,0,10,,,,,,,,,
132,0,2,2,5,25000,17677.66953,0,10,,,,,,,,,
161,1,5,3,5,55000,31754.26481,1,10,,,,,,,,,
164,0,3,3,3,35000,20207.25942,0,10,,,,,,,,,
172,0,3,3,3,35000,20207.25942,0,10,,,,,,,,,
173,1,10,4,2,125000,62500,1,10,,,,,,,,,
174,0,8,2,4,85000,60104.0764,1,10,,,,,,,,,
186,1,4,5,4,45000,20124.6118,0,10,,,,,,,,,
192,0,4,2,2,45000,31819.80515,1,10,,,,,,,,,
195,0,5,2,4,55000,38890.87297,1,10,,,,,,,,,
196,0,6,4,3,65000,32500,1,10,,,,,,,,,
217,1,2,2,4,25000,17677.66953,0,10,,,,,,,,,
219,0,9,2,6,95000,67175.14421,1,10,,,,,,,,,
221,1,3,2,2,35000,24748.73734,0,10,,,,,,,,,
239,1,7,1,4,75000,75000,1,10,,,,,,,,,
257,1,5,1,4,55000,55000,1,10,,,,,,,,,
259,0,7,3,4,75000,43301.27019,1,10,,,,,,,,,
262,0,2,3,2,25000,14433.75673,0,10,,,,,,,,,
268,0,6,4,2,65000,32500,1,10,,,,,,,,,
270,0,2,4,4,25000,12500,0,10,,,,,,,,,
273,1,0,2,2,5000,3535.533906,0,10,,,,,,,,,
292,0,8,2,4,85000,60104.0764,1,10,,,,,,,,,
298,1,0,1,3,5000,5000,0,10,,,,,,,,,
299,0,4,3,1,45000,25980.76211,0,10,,,,,,,,,
300,0,4,2,4,45000,31819.80515,1,10,,,,,,,,,
304,0,3,2,2,35000,24748.73734,0,10,,,,,,,,,
326,1,6,3,2,65000,37527.7675,1,10,,,,,,,,,
334,1,0,4,2,5000,2500,0,10,,,,,,,,,
338,1,7,2,4,75000,53033.00859,1,10,,,,,,,,,
356,1,6,3,3,65000,37527.7675,1,10,,,,,,,,,
360,0,0,3,2,5000,2886.751346,0,10,,,,,,,,,
376,0,10,6,2,125000,51031.03631,1,10,,,,,,,,,
378,1,3,2,2,35000,24748.73734,0,10,,,,,,,,,
378,1,3,2,2,35000,24748.73734,0,10,,,,,,,,,
384,0,2,2,4,25000,17677.66953,0,10,,,,,,,,,
391,1,2,1,2,25000,25000,0,10,,,,,,,,,
399,1,10,2,3,125000,88388.34765,1,10,,,,,,,,,
411,0,10,3,1,125000,72168.78365,1,10,,,,,,,,,
414,1,3,4,0,35000,17500,0,10,,,,,,,,,
416,0,11,3,2,150000,86602.54038,1,10,,,,,,,,,
419,0,8,3,6,85000,49074.77288,1,10,,,,,,,,,
422,1,10,6,5,125000,51031.03631,1,10,,,,,,,,,
423,1,10,3,4,125000,72168.78365,1,10,,,,,,,,,
439,1,1,3,2,15000,8660.254038,0,10,,,,,,,,,
441,0,0,2,2,5000,3535.533906,0,10,,,,,,,,,
443,0,6,3,6,65000,37527.7675,1,10,,,,,,,,,
460,1,5,5,4,55000,24596.74775,0,10,,,,,,,,,
468,1,5,2,5,55000,38890.87297,1,10,,,,,,,,,
473,0,2,3,4,25000,14433.75673,0,10,,,,,,,,,
501,0,9,2,4,95000,67175.14421,1,10,,,,,,,,,
502,1,2,1,4,25000,25000,0,10,,,,,,,,,
517,0,5,2,3,55000,38890.87297,1,10,,,,,,,,,
524,1,4,3,3,45000,25980.76211,0,10,,,,,,,,,
525,0,2,3,4,25000,14433.75673,0,10,,,,,,,,,
527,1,0,1,6,5000,5000,0,10,,,,,,,,,
532,1,8,2,6,85000,60104.0764,1,10,,,,,,,,,
558,1,10,4,6,125000,62500,1,10,,,,,,,,,
565,0,3,1,3,35000,35000,1,10,,,,,,,,,
595,0,3,3,1,35000,20207.25942,0,10,,,,,,,,,
599,1,2,2,2,25000,17677.66953,0,10,,,,,,,,,
610,1,10,3,4,125000,72168.78365,1,10,,,,,,,,,
615,1,2,2,2,25000,17677.66953,0,10,,,,,,,,,
633,0,3,1,5,35000,35000,1,10,,,,,,,,,
635,0,10,1,4,125000,125000,1,10,,,,,,,,,
84,0,4,2,1,45000,31819.80515,1,12,,,,,,,,,
144,0,6,3,3,65000,37527.7675,1,12,,,,,,,,,
393,0,2,1,6,25000,25000,0,12,,,,,,,,,
566,1,11,1,4,150000,150000,1,12,,,,,,,,,
35,0,0,2,2,5000,3535.533906,0,15,,,,,,,,,
130,1,3,2,0,35000,24748.73734,0,15,,,,,,,,,
135,1,2,4,4,25000,12500,0,15,,,,,,,,,
154,1,4,5,4,45000,20124.6118,0,15,,,,,,,,,
176,0,2,5,2,25000,11180.33989,0,15,,,,,,,,,
201,1,10,4,4,125000,62500,1,15,,,,,,,,,
295,1,10,4,4,125000,62500,1,15,,,,,,,,,
342,1,9,4,2,95000,47500,1,15,,,,,,,,,
514,1,5,4,4,55000,27500,1,15,,,,,,,,,
578,1,6,2,4,65000,45961.94078,1,15,,,,,,,,,
605,0,2,2,4,25000,17677.66953,0,15,,,,,,,,,
12,0,8,2,2,85000,60104.0764,1,20,,,,,,,,,
215,1,3,5,1,35000,15652.47584,0,20,,,,,,,,,
216,0,0,7,0,5000,1889.822365,0,20,,,,,,,,,
238,0,2,1,4,25000,25000,0,20,,,,,,,,,
281,1,1,4,2,15000,7500,0,20,,,,,,,,,
297,1,6,4,2,65000,32500,1,20,,,,,,,,,
319,1,4,2,1,45000,31819.80515,1,20,,,,,,,,,
361,0,1,1,4,15000,15000,0,20,,,,,,,,,
365,0,9,4,2,95000,47500,1,20,,,,,,,,,
370,1,1,2,2,15000,10606.60172,0,20,,,,,,,,,
370,1,1,2,2,15000,10606.60172,0,20,,,,,,,,,
531,0,1,3,4,15000,8660.254038,0,20,,,,,,,,,
579,0,10,5,6,125000,55901.69944,1,20,,,,,,,,,
379,0,6,2,2,65000,45961.94078,1,25,,,,,,,,,
523,0,3,26,1,35000,6864.06473,0,25,,,,,,,,,
40,0,4,6,4,45000,18371.17307,0,30,,,,,,,,,
138,1,9,1,6,95000,95000,1,30,,,,,,,,,
499,0,5,6,1,55000,22453.65598,0,40,,,,,,,,,
469,0,0,2,2,5000,3535.533906,0,50,,,,,,,,,
170,1,0,2,6,5000,3535.533906,0,100,,,,,,,,,
426,1,4,4,4,45000,22500,0,100,,,,,,,,,
137,1,3,4,1,35000,17500,0,300,,,,,,,,,
53,1,4,2,4,45000,31819.80515,1,800,,,,,,,,,
600,0,4,3,4,45000,25980.76211,0,1000,,,,,,,,,
576,0,4,3,4,45000,25980.76211,0,,,,,,,,,,
596,1,4,3,2,45000,25980.76211,0,,,,,,,,,,
